"V:0","V:1","V:2","Points:0","Points:1","Points:2"
0,0,0,0,5.75,0
-3.2215,0.5116,-15.335,0,5.362,0
-3.2602,-0.055345,-15.335,-0.9311,5.2805,0
0,0,0,-0.99848,5.6626,0
0,0,0,0,5.75,-0.28798
-3.5534,0.38938,-16.328,0,5.362,-0.28798
-3.5661,-0.2334,-16.328,-0.9311,5.2805,-0.28798
0,0,0,-0.99848,5.6626,-0.28798
-3.2002,-0.62017,-15.336,-1.8339,5.0386,0
0,0,0,-1.9666,5.4032,0
-3.4707,-0.84878,-16.329,-1.8339,5.0386,-0.28798
0,0,0,-1.9666,5.4032,-0.28798
-3.0437,-1.1661,-15.337,-2.681,4.6436,0
0,0,0,-2.875,4.9796,0
-3.2703,-1.4383,-16.33,-2.681,4.6436,-0.28798
0,0,0,-2.875,4.9796,-0.28798
-2.7955,-1.677,-15.338,-3.4466,4.1075,0
0,0,0,-3.696,4.4048,0
-2.9713,-1.9845,-16.331,-3.4466,4.1075,-0.28798
0,0,0,-3.696,4.4048,-0.28798
-2.4628,-2.1379,-15.338,-4.1075,3.4466,0
0,0,0,-4.4048,3.696,0
-2.5823,-2.4711,-16.331,-4.1075,3.4466,-0.28798
0,0,0,-4.4048,3.696,-0.28798
-2.0546,-2.5343,-15.338,-4.6436,2.681,0
0,0,0,-4.9796,2.875,0
-2.1143,-2.8829,-16.331,-4.6436,2.681,-0.28798
0,0,0,-4.9796,2.875,-0.28798
-1.5831,-2.8531,-15.337,-5.0386,1.8339,0
0,0,0,-5.4032,1.9666,0
-1.5816,-3.2066,-16.33,-5.0386,1.8339,-0.28798
0,0,0,-5.4032,1.9666,-0.28798
-1.0634,-3.0842,-15.336,-5.2805,0.9311,0
0,0,0,-5.6626,0.99848,0
-1.0006,-3.4322,-16.329,-5.2805,0.9311,-0.28798
0,0,0,-5.6626,0.99848,-0.28798
-0.51163,-3.2212,-15.336,-5.362,5.3887e-14,0
0,0,0,-5.75,4.341e-14,0
-0.38938,-3.5532,-16.329,-5.362,5.4012e-14,-0.28798
0,0,0,-5.75,4.3521e-14,-0.28798
0.055322,-3.2604,-15.336,-5.2805,-0.9311,0
0,0,0,-5.6626,-0.99848,0
0.23342,-3.5662,-16.329,-5.2805,-0.9311,-0.28798
0,0,0,-5.6626,-0.99848,-0.28798
0.62029,-3.2009,-15.337,-5.0386,-1.8339,0
0,0,0,-5.4032,-1.9666,0
0.84893,-3.4712,-16.33,-5.0386,-1.8339,-0.28798
0,0,0,-5.4032,-1.9666,-0.28798
1.1666,-3.0451,-15.338,-4.6436,-2.681,0
0,0,0,-4.9796,-2.875,0
1.4388,-3.2715,-16.331,-4.6436,-2.681,-0.28798
0,0,0,-4.9796,-2.875,-0.28798
1.6783,-2.7974,-15.338,-4.1075,-3.4466,0
0,0,0,-4.4048,-3.696,0
1.9857,-2.9728,-16.331,-4.1075,-3.4466,-0.28798
0,0,0,-4.4048,-3.696,-0.28798
2.1398,-2.4642,-15.338,-3.4466,-4.1075,0
0,0,0,-3.696,-4.4048,0
2.4726,-2.5835,-16.331,-3.4466,-4.1075,-0.28798
0,0,0,-3.696,-4.4048,-0.28798
2.5359,-2.0553,-15.337,-2.681,-4.6436,0
0,0,0,-2.875,-4.9796,0
2.8842,-2.115,-16.33,-2.681,-4.6436,-0.28798
0,0,0,-2.875,-4.9796,-0.28798
2.8541,-1.5834,-15.336,-1.8339,-5.0386,0
0,0,0,-1.9666,-5.4032,0
3.2075,-1.5819,-16.329,-1.8339,-5.0386,-0.28798
0,0,0,-1.9666,-5.4032,-0.28798
3.0849,-1.0635,-15.335,-0.9311,-5.2805,0
0,0,0,-0.99848,-5.6626,0
3.4328,-1.0007,-16.328,-0.9311,-5.2805,-0.28798
0,0,0,-0.99848,-5.6626,-0.28798
3.2215,-0.5116,-15.335,0,-5.362,0
0,0,0,0,-5.75,0
3.5534,-0.38938,-16.328,0,-5.362,-0.28798
0,0,0,0,-5.75,-0.28798
-6.3198,1.5722,-20.095,0,4.974,0
-6.495,0.45129,-20.095,-0.86373,4.8984,0
-6.9571,0.99877,-21.061,0,4.974,-0.28798
-7.0234,-0.22421,-21.062,-0.86373,4.8984,-0.28798
5.9525,-2.6462,-20.095,-0.86373,-4.8984,0
6.3198,-1.5722,-20.095,0,-4.974,0
6.6793,-2.192,-21.062,-0.86373,-4.8984,-0.28798
6.9571,-0.99877,-21.061,0,-4.974,-0.28798
-9.6589,2.4673,-18.7,0,4.586,0
-9.9388,0.753,-18.7,-0.79635,4.5163,0
-10.602,1.4294,-19.292,0,4.586,-0.28798
-10.688,-0.43304,-19.292,-0.79635,4.5163,-0.28798
9.0854,-4.1076,-18.7,-0.79635,-4.5163,0
9.6589,-2.4673,-18.7,0,-4.586,0
10.194,-3.249,-19.292,-0.79635,-4.5163,-0.28798
10.602,-1.4294,-19.292,0,-4.586,-0.28798
-13.566,2.7555,-12.687,0,4.198,0
-13.837,0.35828,-12.688,-0.72898,4.1342,0
-14.909,1.0933,-12.353,0,4.198,-0.28798
-14.872,-1.5121,-12.353,-0.72898,4.1342,-0.28798
12.883,-5.0699,-12.688,-0.72898,-4.1342,0
13.566,-2.7555,-12.687,0,-4.198,0
14.494,-3.6659,-12.353,-0.72898,-4.1342,-0.28798
