Tensors_:0,Tensors_:1,Tensors_:2,Tensors_:3,Tensors_:4,Tensors_:5,Tensors_:6,Tensors_:7,Tensors_:8,Points:0,Points:1,Points:2
0.49999997,-1.0982501e-07,-1.1888026e-08,-1.0982501e-07,0.50000006,1.2782378e-07,-1.1888026e-08,1.2782378e-07,0.49999994,16,4,0
0.4999999,-3.7449001e-06,-6.316725e-07,-3.7449001e-06,0.5000021,3.638681e-06,-6.316725e-07,3.638681e-06,0.499998,17,4,0
0.4999989,-2.2354168e-06,3.0832922e-07,-2.2354168e-06,0.5000032,2.366856e-06,3.0832922e-07,2.366856e-06,0.4999979,15,5,0
0.499981,-8.629046e-05,6.4719334e-06,-8.629046e-05,0.5000914,6.7582834e-05,6.4719334e-06,6.7582834e-05,0.49992764,16,5,0
0.49999997,-1.6100048e-08,1.4887219e-08,-1.6100048e-08,0.50000006,3.61781e-08,1.4887219e-08,3.61781e-08,0.49999997,13,6,0
0.49999657,-3.2880464e-06,1.6481574e-06,-3.2880464e-06,0.500009,3.6587692e-06,1.6481574e-06,3.6587692e-06,0.49999443,14,6,0
0.4999055,-0.00016212663,5.6677018e-05,-0.00016212663,0.50030804,0.000102595775,5.6677018e-05,0.000102595775,0.49978647,15,6,0
0.49926278,-0.0026555366,0.0007665367,-0.0026555366,0.50365704,0.0010525633,0.0007665367,0.0010525633,0.49708018,16,6,0
0.49938923,-0.018308623,0.004816267,-0.018308623,0.5182732,0.005070914,0.004816267,0.005070914,0.4823376,17,6,0
0.62510353,-0.1883883,0.03983548,-0.1883883,0.53600544,0.05032118,0.03983548,0.05032118,0.338891,20,6,0
0.70189345,-0.20702681,0.03287577,-0.20702681,0.48544633,0.07167967,0.03287577,0.07167967,0.31266022,21,6,0
0.76594883,-0.1892337,0.009855472,-0.1892337,0.42632005,0.09006421,0.009855472,0.09006421,0.30773115,22,6,0
0.8063491,-0.14543928,-0.025083695,-0.14543928,0.37414166,0.1008831,-0.025083695,0.1008831,0.31950927,23,6,0
0.81119996,-0.08678397,-0.06433717,-0.08678397,0.34149495,0.099023364,-0.06433717,0.099023364,0.3473051,24,6,0
0.76152056,-0.027021246,-0.09130787,-0.027021246,0.34459254,0.07866505,-0.09130787,0.07866505,0.39388692,25,6,0
0.6470509,0.010022625,-0.077156834,0.010022625,0.39943844,0.040313236,-0.077156834,0.040313236,0.45351064,26,6,0
0.4999986,-3.700797e-07,7.78615e-07,-3.700797e-07,0.5000036,7.906406e-07,7.78615e-07,7.906406e-07,0.49999782,13,7,0
0.49994016,-3.796073e-05,3.5603633e-05,-3.796073e-05,0.50016624,1.8708502e-05,3.5603633e-05,1.8708502e-05,0.49989358,14,7,0
0.49917328,-0.00097550056,0.00063315395,-0.00097550056,0.50263506,5.071862e-05,0.00063315395,5.071862e-05,0.49819165,15,7,0
0.49572316,-0.0096007995,0.0052893064,-0.0096007995,0.51765406,-0.0010909698,0.0052893064,-0.0010909698,0.48662278,16,7,0
0.49281052,-0.045041338,0.023522785,-0.045041338,0.5583828,-0.007624084,0.023522785,-0.007624084,0.44880664,17,7,0
0.6398202,-0.23695156,0.13058014,-0.23695156,0.5762543,-0.012172207,0.13058014,-0.012172207,0.28392547,20,7,0
0.7172342,-0.23732269,0.13211975,-0.23732269,0.51272243,0.01375763,0.13211975,0.01375763,0.27004337,21,7,0
0.78691465,-0.20903687,0.11310882,-0.20903687,0.44604096,0.04507795,0.11310882,0.04507795,0.2670444,22,7,0
0.84365237,-0.16123989,0.07642346,-0.16123989,0.38560843,0.07449778,0.07642346,0.07449778,0.2707392,23,7,0
0.8815265,-0.09877339,0.025135126,-0.09877339,0.33614495,0.09514922,0.025135126,0.09514922,0.28232855,24,7,0
0.89353156,-0.028281705,-0.035596907,-0.028281705,0.30237204,0.10147637,-0.035596907,0.10147637,0.3040964,25,7,0
0.8709799,0.040402982,-0.09688978,0.040402982,0.28985807,0.09027832,-0.09688978,0.09027832,0.33916202,26,7,0
0.7852733,0.08516873,-0.13372445,0.08516873,0.3175888,0.058551054,-0.13372445,0.058551054,0.39713785,27,7,0
0.61108935,0.057973247,-0.083990194,0.057973247,0.4165124,0.015369263,-0.083990194,0.015369263,0.47239825,28,7,0
0.4999999,3.5561182e-08,5.9195894e-08,3.5561182e-08,0.50000024,2.8022159e-08,5.9195894e-08,2.8022159e-08,0.49999985,12,8,0
0.49999356,5.922296e-07,3.7071725e-06,5.922296e-07,0.50001746,-3.9700356e-07,3.7071725e-06,-3.9700356e-07,0.49998894,13,8,0
0.4998533,-3.31956e-05,8.9677786e-05,-3.31956e-05,0.50040615,-5.9334463e-05,8.9677786e-05,-5.9334463e-05,0.49974057,14,8,0
0.49858275,-0.0008645071,0.0010766935,-0.0008645071,0.5040946,-0.0010790527,0.0010766935,-0.0010790527,0.49732262,15,8,0
0.49330938,-0.007868968,0.007408196,-0.007868968,0.52138615,-0.008140892,0.007408196,-0.008140892,0.48530447,16,8,0
0.4843837,-0.03655763,0.031311087,-0.03655763,0.5640192,-0.032249678,0.031311087,-0.032249678,0.4515971,17,8,0
0.4879821,-0.098768964,0.08408057,-0.098768964,0.61541796,-0.07411836,0.08408057,-0.07411836,0.39659992,18,8,0
0.6661091,-0.2105815,0.21409589,-0.2105815,0.52947515,-0.06838229,0.21409589,-0.06838229,0.30441573,21,8,0
0.73831975,-0.18847997,0.20839328,-0.18847997,0.4686843,-0.02352959,0.20839328,-0.02352959,0.29299593,22,8,0
0.8055245,-0.1484313,0.18174057,-0.1484313,0.41288725,0.024497988,0.18174057,0.024497988,0.28158826,23,8,0
0.8601904,-0.09145788,0.13353907,-0.09145788,0.3645797,0.06707957,0.13353907,0.06707957,0.27522987,24,8,0
0.8925203,-0.020819489,0.06716167,-0.020819489,0.32772663,0.094458245,0.06716167,0.094458245,0.27975303,25,8,0
0.89467084,0.05603453,-0.0085079735,0.05603453,0.3073086,0.09961417,-0.0085079735,0.09961417,0.29802057,26,8,0
